,word,meaning,example
1110,dupe,to deceive or cheat easily : to make a dupe (see dupe entry 1) of,was duped into buying a counterfeit
1111,dupe,duplicate,"This new breed of browsing utility programs can also help you organize the pages you've retrieved, eliminating dupes, throwing out unwanted pages, and storing the useful ones in efficient hierarchies of folders."
1112,dupe,"duplicate, copy",dupe a disc
1113,duplicitous,marked by duplicity : deceptive in words or action,duplicitous tactics
1114,duress,forcible restraint or restriction,while the German army was still held in duress by the Versailles treaty
1115,duress,compulsion (see compulsion sense 1a) by threat,gave the statement under duress
1116,dwindling,to become steadily less : shrink,Their savings dwindled to nothing.
1117,dwindling,to make steadily less,
1118,ebullient,"boiling, agitated",
1119,ebullient,characterized by ebullience : having or showing liveliness and enthusiasm,ebullient performers
1120,eccentric,deviating from conventional or accepted usage or conduct especially in odd or whimsical ways,an eccentric millionaire
1121,eccentric,deviating from an established or usual pattern or style,eccentric products
1122,eccentric,deviating from a circular path,
1123,eccentric,located elsewhere than at the geometric center,
1124,eccentric,a person who behaves in odd or unusual ways : an eccentric person,
1125,eccentric,a mechanical device consisting of an eccentric (see eccentric entry 1 sense 2b) disk communicating its motion to a rod so as to produce reciprocating motion,
1126,echelon,an arrangement of a body of troops with its units each somewhat to the left or right of the one in the rear like a series of steps,
1127,echelon,a formation of units or individuals resembling such an echelon,geese flying in echelon
1128,echelon,a flight formation in which each airplane flies at a certain elevation above or below and at a certain distance behind and to the right or left of the airplane ahead,
1129,echelon,any of several military units in echelon formation,
1130,echelon,one of a series of levels or grades in an organization or field of activity,involved employees at every echelon
1131,echelon,a group of individuals at a particular level or grade in an organization or field of activity,the upper echelons of management
1132,echelon,to form or arrange in an echelon,
1133,echelon,to take position in an echelon,
1134,eclectic,composed of elements drawn from various sources,
1135,eclectic,"selecting what appears to be best in various doctrines, methods, or styles",
1136,eclectic,one who uses a method or approach that is composed of elements drawn from various sources : one who uses an eclectic method or approach,
1137,eclipse,the total or partial obscuring of one celestial body by another,
1138,eclipse,"the passing into the shadow of a celestial body   compare occultation, transit",
1139,eclipse,a falling into obscurity or decline,
1140,eclipse,the state of being in eclipse plumage,
1141,eclipse,to cause an eclipse of: such as,
1142,eclipse,"obscure, darken",
1143,eclipse,to reduce in importance or repute,
1144,eclipse,surpass,her score eclipsed the old record
1145,economy,"the structure or conditions of economic life in a country, area, or period",
1146,economy,thrifty and efficient use of material resources : frugality in expenditures,
1147,economy,"efficient and concise use of nonmaterial resources (such as effort, language, or motion)",
1148,economy,the arrangement or mode of operation of something : organization,
1149,economy,a system especially of interaction and exchange,an economy of information
1150,economy,the management of household or private affairs and especially expenses,
1151,economy,designed to save money,economy cars
1152,edify,to instruct and improve especially in moral and religious knowledge : uplift,
1153,edify,build,
1154,edify,establish,
1155,efficacious,having the power to produce a desired effect,an efficacious remedy
1156,effrontery,shameless boldness : insolence,
1157,egregious,conspicuous,
1158,egregious,distinguished,
1159,elated,marked by high spirits : exultant,
1160,elementary,"of, relating to, or dealing with the simplest elements or principles of something",
1161,elementary,of or relating to an elementary school,
1162,elementary,elemental sense 1a,
1163,elementary,elemental sense 2,
1164,elicit,"to call forth or draw out (something, such as information or a response)",her remarks elicited cheers
1165,elicit,to draw forth or bring out (something latent or potential),hypnotism elicited his hidden fears
1166,elitist,one who is an adherent of elitism : one whose attitudes and beliefs are biased in favor of a socially elite class of people,"On many issues, they seem to be populists rather than elitists—believers that people can make decisions for themselves better than elites can."
1167,elitist,a person who is or regards himself or herself as a member of a socially elite group,"He's too rich, too polished—he's an elitist in a party that has become home to disaffected white, working-class voters."
